product,ISIN_code,ticker_symbol,product_type
HAN-GINS Tech Megatrend Equal Weight UCITS ETF Acc,IE00BDDRF700,ITEK.MI,ETF
Invesco Elwood Global Blockchain UCITS ETF Acc,IE00BGBN6P67,BNXG.DE,ETF
iShares Automation & Robotics UCITS ETF USD A,IE00BYZK4552,2B76.DE,ETF
iShares Core MSCI EM IMI UCITS ETF USD Acc,IE00BKM4GZ66,EMIM.AS,ETF
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,IWDA.AS,ETF
iShares Digitalisation UCITS ETF USD (Acc),IE00BYZK4883,2B79.DE,ETF
iShares Edge MSCI WrldMmtFactor UCITS ETF USD Acc,IE00BP3QZ825,IS3R.DE,ETF
iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH.DE,ETF
iShares Healthcare Innovation UCITS ETF USD A,IE00BYZK4776,2B78.DE,ETF
iShares Nasdaq US Biotechnology ETF USD Acc,IE00BYXG2H39,2B70.DE,ETF
ISIV-M.GL.SEMI. DLA,IE000I8KRLL9,SEC0.BE,ETF
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISPY.AS,ETF
L&G Healthcare Breakthrough UCITS ETF,IE00BK5BC677,XMLH.DE,ETF
L&G ROBO Gl Robotics and Automation UCITS ETF,IE00BMW3QX54,ROBO.AS,ETF
Lyx Msci Disrup Etf,LU2023678282,UNIC.MI,ETF
Lyxor New Energy (DR) UCITS ETF - Dist,FR0010524777,LYM9.DE,ETF
WisdomTree Artificial Intell UCITS ETF USD Acc,IE00BDVPNG13,WTAI.MI,ETF
WisdomTree Cloud Computing UCITS ETF USD Acc,IE00BJGWQN72,WCLD.MI,ETF
Xtrackers Artific Intellig and BigDataUCITS ETF 1C,IE00BGV5VN51,XAIX.DE,ETF
Xtrackers Future Mobility UCITS ETF 1C,IE00BGV5VR99,XMOV.DE,ETF
Xtrackers MSCI World Health Care UCITS ETF 1C,IE00BM67HK77,XDWH.MI,ETF
SUPERNOVA PARTNERS ACQUISITION COMPANY II LTD.,KYG8T86C1052,SNII,Common Stock
ABB LTD-SPON ADR,US0003752047,ABBNY,Common Stock
Alphabet Inc Class A,US02079K3059,GOOGL,Common Stock
CrowdStrike Holdings Inc,US22788C1053,CRWD,Common Stock
Enphase Energy Inc,US29355A1079,ENPH,Common Stock
GINKGO BIOWORKS HOLDINGS INC. CLASS A COMMON STOC,US37611X1000,DNA,Common Stock
HONEYWELL INTERNATIONAL INC,US4385161066,HON,Common Stock
IBM,US4592001014,IBM,Common Stock
NextEra Energy Inc,US65339F1012,NEE,Common Stock
NVIDIA Corp,US67066G1040,NVDA,Common Stock
ORIGIN MATERIALS INC. - CLASS A COMMON STOCK,US68622D1063,ORGN,Common Stock
Palantir Technologies Inc,US69608A1088,PLTR,Common Stock
PLANET LABS PBC CLASS A COMMON STOCK,US72703X1063,PL,Common Stock
RUBICON TECHNOLOGIES INC. CLASS A COMMON STOCK,US78112J1097,RBT,Common Stock
Snowflake Inc.,US8334451098,SNOW,Common Stock
Solaredge Technologies Inc,US83417M1045,SEDG,Common Stock
Tesla,US88160R1014,TSLA,Common Stock
Waste Management Inc,US94106L1098,WM,Common Stock
ASML HOLDING NV - DEPOSITORY RECEIPT,USN070592100,ASML,Common Stock
Beam Therapeutics Inc,US07373V1052,BEAM,Common Stock
Recursion Pharmaceuticals Inc,US75629V1044,RXRX,Common Stock
PRIME MEDICINE INC. - COMMON STOCK,US74168J1016,PRME,Common Stock
Intellia Therapeutics Inc,US45826J1051,NTLA,Common Stock
Sana Biotechnology Inc,US7995661045,SANA,Common Stock
IONQ INC. COMMON STOCK,US46222L1089,IONQ,Common Stock
ROCKET LAB USA INC. - COMMON STOCK,US7731221062,RKLB,Common Stock
Intuitive Surgical,US46120E6023,ISRG,Common Stock
Purecycle Technologies Inc,US74623V1035,PCT,Common Stock
Invesco EQQQ NASDAQ-100 UCITS ETF Dist,IE0032077012,EQQQ.PA,ETF
iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH.DE,ETF
Vanguard FTSE All-World UCITS ETF USD Dis,IE00B3RBWM25,VWRL.AS,ETF
Vanguard S&P 500 UCITS ETF USD Acc,IE00BFMXXD54,VUAA.L,ETF
TOMRA SYSTEMS ASA,NO0012470089,TOM.OL,Common Stock
SYMBOTIC INC. - CLASS A COMMON STOCK,US87151X1019,SYM,Common Stock
